,WinningPlayer,WinningCharacter,LosingP1,LosingChar1,LosingP2,LosingChar2,LosingP3,LosingChar3,StockCount,Stage
201711081910,Josh,MrGameAndWatch,Allen,Bowser,Brett,Samus,Sean,CaptainFalcon,1,yoshisStory
201711081913,Sean,CaptainFalcon,Allen,Bowser,Brett,Mario,Josh,MrGameAndWatch,1,warioLand
201711081917,Allen,Bowser,Brett,Link,Sean,CaptainFalcon,Josh,Ike,2,norfair
201711081924,Sean,CaptainFalcon,Josh,Ike,Allen,Wario,Brett,CaptainFalcon,1,greenHillZone
201711081930,Allen,Wario,Josh,Ike,Sean,CaptainFalcon,Brett,Samus,1,smashville
201711160013,Allen,Peach,Claire,IceClimbers,Joe,MrGameAndWatch,,,1,hyruleCastle
